"Species"	"Barcode"	"Predator"	"Prey"	"Secondary"	"Parasite"	"Environmental"	"Contamination"
"Craseoa lathetica"	"179"	383303	0	0	0	555	4
"Desmophyes annectens"	"179"	19092	0	0	0	0	0
"Diphyes dispar"	"179"	1295658	94	0	0	318	0
"Erenna cornuta"	"179"	96422	0	0	0	0	0
"Erenna sirena"	"179"	78012	0	0	0	104	0
"Forskalia formosa"	"179"	213734	0	0	0	20	0
"Forskalia sp."	"179"	259558	1321	0	0	1369	8
"Frillagalma vityazi"	"179"	257433	0	0	0	485	0
"Gymnopraia lapislazula"	"179"	316092	0	0	0	30	0
"Halistemma rubrum"	"179"	71476	20	0	0	0	0
"Kephyes ovata"	"179"	107470	0	0	0	0	0
"Lensia conoidea"	"179"	70748	234	0	0	40	0
"Lilyopsis fluoracantha"	"179"	74916	0	0	0	0	0
"Lychnagalma utricularia"	"179"	82954	139662	0	0	370	118
"Marrus claudanielis"	"179"	251870	0	0	0	24	0
"Muggiaea atlantica"	"179"	270204	0	0	0	0	0
"Nanomia (deep)"	"179"	123702	17772	0	0	8	0
"Nanomia sp. Atlantic"	"179"	1769034	38448	0	0	8	0
"Nanomia sp. shallow"	"179"	656620	4748	0	0	124652	10
"Physalia physalis"	"179"	316244	66	3252	46	10758	36
"Praya dubia"	"179"	315314	0	0	1560	0	0
"Resomia dunni"	"179"	266457	530	0	0	563	16
"Resomia ornicephala"	"179"	41806	0	0	0	0	26
"Sphaeronectes christiansonae"	"179"	88828	0	0	0	0	0
"Sphaeronectes koellikeri"	"179"	603878	488	0	0	6	0
"Stephanomia amphytridis"	"179"	272728	0	0	0	128123	0
"Sulculeolaria chuni"	"179"	148790	282	0	0	0	0
"Undescribed physonect L"	"179"	281076	230	0	0	5244	4
"Undescribed physonect ZigZag"	"179"	50846	0	0	0	0	0
"Vogtia serrata"	"179"	209538	0	0	0	12522	4
"Agalma okenii"	"261"	3984	0	0	0	0	0
"Apolemia lanosa"	"261"	341379	0	0	0	1972	418
"Apolemia rubriversa"	"261"	45176	0	0	0	0	74
"Apolemia sp"	"261"	5678	0	0	0	21674	0
"Apolemia undescribed sp"	"261"	9106	0	0	0	0	0
"Bargmannia amoena"	"261"	173490	238862	0	6406	1839	71
"Bargmannia elongata"	"261"	492	0	0	0	14359	167
"Bargmannia lata"	"261"	15218	0	0	0	5446	42
"Chuniphyes moserae"	"261"	5208	0	0	0	0	0
"Chuniphyes multidentata"	"261"	24258	0	0	0	0	0
"Cordagalma ordinatum"	"261"	23208	0	0	0	400	0
"Craseoa lathetica"	"261"	9034	0	0	0	582	448
"Desmophyes annectens"	"261"	1484	0	0	0	0	0
"Diphyes dispar"	"261"	68622	28	0	0	18	0
"Erenna cornuta"	"261"	4988	0	0	0	0	0
"Erenna sirena"	"261"	381172	0	0	0	176	204
"Forskalia formosa"	"261"	8132	0	0	0	0	0
"Forskalia sp."	"261"	23704	4839	0	0	270	405
"Frillagalma vityazi"	"261"	10034	0	0	0	850	60
"Gymnopraia lapislazula"	"261"	22131	0	0	0	31	0
"Halistemma rubrum"	"261"	12056	0	0	0	0	0
"Kephyes ovata"	"261"	14174	0	0	0	0	0
"Lensia conoidea"	"261"	7060	0	0	0	0	0
"Lilyopsis fluoracantha"	"261"	3218	0	0	0	0	0
"Lychnagalma utricularia"	"261"	3590	8214	0	0	8415	1149
"Marrus claudanielis"	"261"	24078	0	0	0	861	14
"Muggiaea atlantica"	"261"	31968	0	0	0	0	0
"Nanomia (deep)"	"261"	15378	1730	0	0	0	5
"Nanomia sp. Atlantic"	"261"	132966	6478	0	0	36	0
"Nanomia sp. shallow"	"261"	254286	5888	0	0	5596	5783
"Physalia physalis"	"261"	56268	3542	4148	428	15988	216
"Praya dubia"	"261"	9510	0	0	4422	0	0
"Resomia dunni"	"261"	64310	0	0	0	2936	50
"Resomia ornicephala"	"261"	17720	0	0	0	0	22
"Sphaeronectes christiansonae"	"261"	17570	0	0	0	0	0
"Sphaeronectes koellikeri"	"261"	79774	0	0	0	0	0
"Stephanomia amphytridis"	"261"	337372	0	0	0	14	78
"Sulculeolaria chuni"	"261"	8956	0	0	0	0	0
"Undescribed physonect L"	"261"	562812	180	0	0	144	164
"Undescribed physonect ZigZag"	"261"	1282	0	0	0	0	0
"Vogtia serrata"	"261"	20036	0	0	0	6460	59
"Agalma okenii"	"272"	285302	0	0	0	0	0
"Apolemia lanosa"	"272"	205384	584	0	2	812	0
"Apolemia rubriversa"	"272"	636742	286	0	0	128	0
"Apolemia sp"	"272"	56070	0	0	0	21761	0
"Apolemia undescribed sp"	"272"	199554	912	0	0	22	0
"Bargmannia amoena"	"272"	63066	2334	0	0	3042	94
"Bargmannia lata"	"272"	83864	98	0	0	3772	0
"Chuniphyes moserae"	"272"	102706	0	0	0	0	0
"Chuniphyes multidentata"	"272"	253350	610	0	0	0	0
"Cordagalma ordinatum"	"272"	297540	0	0	0	730	0
"Craseoa lathetica"	"272"	567852	0	0	0	5314	436
"Desmophyes annectens"	"272"	22196	24	0	0	0	0
"Diphyes dispar"	"272"	1421986	344	0	0	81	0
"Erenna cornuta"	"272"	39056	0	0	0	22	0
"Erenna sirena"	"272"	3	0	0	0	25	2
"Forskalia formosa"	"272"	143492	0	0	0	0	106
"Forskalia sp."	"272"	289007	100989	0	30	19994	424
"Frillagalma vityazi"	"272"	250296	0	0	0	2227	562
"Gymnopraia lapislazula"	"272"	170335	0	0	0	149	14
"Halistemma rubrum"	"272"	90616	0	0	0	0	0
"Kephyes ovata"	"272"	184342	0	0	0	0	0
"Lensia conoidea"	"272"	77346	622	0	0	0	0
"Lilyopsis fluoracantha"	"272"	82002	0	0	0	0	0
"Lychnagalma utricularia"	"272"	30896	241858	0	0	8828	1658
"Marrus claudanielis"	"272"	333346	0	0	0	1986	206
"Muggiaea atlantica"	"272"	224677	0	0	0	30	0
"Nanomia (deep)"	"272"	137370	14360	0	0	110	0
"Nanomia sp. Atlantic"	"272"	1416436	46402	0	90	250	0
"Nanomia sp. shallow"	"272"	533356	32	0	0	264	24
"Physalia physalis"	"272"	225146	0	1190	506	16924	1253
"Praya dubia"	"272"	398724	0	0	2280	0	0
"Resomia dunni"	"272"	510300	0	0	0	4842	472
"Resomia ornicephala"	"272"	188583	0	0	0	225	416
"Sphaeronectes christiansonae"	"272"	76212	216	0	0	140	12
"Sphaeronectes koellikeri"	"272"	310364	2160	0	0	1984	417
"Stephanomia amphytridis"	"272"	186804	0	0	0	76	12
"Sulculeolaria chuni"	"272"	381695	366	0	0	0	0
"Undescribed physonect L"	"272"	64688	0	0	0	360	96
"Undescribed physonect ZigZag"	"272"	56374	0	0	0	0	0
"Vogtia serrata"	"272"	325540	0	0	0	14896	1060
