"Specimen"	"Species"	"Predator"	"Prey"	"Secondary"	"Parasite"	"Environmental"	"Contamination"
"D1244-SS8"	"Nanomia (deep)"	212	114740	0	0	0	0
"Groton2_Dive1_36"	"Nanomia sp. Atlantic"	0	2774	0	566	0	0
"Groton2_Dive1_38"	"Nanomia sp. Atlantic"	0	165	0	0	0	0
"Groton2_Dive2_16"	"Nanomia sp. Atlantic"	758200	0	0	0	0	0
"Groton2_Dive2_18"	"Nanomia sp. Atlantic"	1082256	0	0	0	0	0
"Groton2_Dive2_20"	"Nanomia sp. Atlantic"	1291728	0	0	0	0	0
"Groton2_Dive2_22"	"Nanomia sp. Atlantic"	1173835	0	0	0	0	0
"Groton2_Dive2_24"	"Nanomia sp. Atlantic"	1203802	2602	0	0	66	0
"Groton2_Dive2_26"	"Nanomia sp. Atlantic"	1120452	17408	0	45	102	0
"Groton2_Dive2_28"	"Nanomia sp. Atlantic"	993376	41384	0	0	0	0
"Groton2_Dive2_30"	"Nanomia sp. Atlantic"	742730	220719	0	0	0	0
"Groton2_Dive2_32"	"Nanomia sp. Atlantic"	1291215	0	0	0	0	0
"Groton2_Dive2_34"	"Nanomia sp. Atlantic"	979543	29214	0	0	374	0
"Groton2_Dive2_36"	"Nanomia sp. Atlantic"	1250530	3126	0	566	44	19
"Groton2_Dive2_38"	"Nanomia sp. Atlantic"	1470792	165	0	0	0	0
"26Mar19-BW3-20"	"Nanomia sp. shallow"	315878	0	0	0	0	0
"26Mar19-BW3-25.1"	"Nanomia sp. shallow"	303718	0	0	0	0	0
"26Mar19-BW3-29"	"Nanomia sp. shallow"	347886	0	0	0	0	0
"26Mar19-BW3-40.1"	"Nanomia sp. shallow"	225986	8645	0	7472	0	5775
"26Mar19-BW4-31"	"Nanomia sp. shallow"	267233	0	0	0	0	0
"26Mar19-BW4-32"	"Nanomia sp. shallow"	256320	0	0	0	0	0
"D1138-BW20"	"Nanomia sp. shallow"	315501	0	0	0	48	0
"D1138-BW21"	"Nanomia sp. shallow"	323664	0	0	0	0	0
"D1138-BW22"	"Nanomia sp. shallow"	558406	0	0	0	50	22
"D1138-BW34"	"Nanomia sp. shallow"	273814	0	0	0	0	0
"D1138-BW6"	"Nanomia sp. shallow"	162638	0	0	0	0	0
"KiloMoana2018-BW7-4"	"Nanomia sp. shallow"	2258031	65748	0	0	547547	140
"BIOS19-D1-P1"	"Physalia physalis"	583547	858	2	0	713	0
"BIOS19-D1-P2"	"Physalia physalis"	521138	0	0	0	343	10
"BIOS19-D1-P3"	"Physalia physalis"	220914	236	366	10	72	0
"BIOS19-D1-P4"	"Physalia physalis"	267342	0	0	0	11	24
"BIOS19-D1-P5"	"Physalia physalis"	565074	20364	53262	5106	200040	4006
"D1244-D3"	"Praya dubia"	532628	0	0	0	0	0
"D960-BW2"	"Praya dubia"	1091276	0	0	20866	40	0
"D1166-D8"	"Resomia dunni"	440754	3574	0	0	12176	503
"D1168-D8"	"Resomia dunni"	385752	0	0	0	320	0
"D963-D4"	"Resomia dunni"	1509587	0	0	0	7315	766
"D965-D7"	"Resomia ornicephala"	908664	0	0	0	1492	1406
"D1245-D6"	"Sphaeronectes christiansonae"	616868	216	0	142	140	40
"26Mar19-BW3-20.1"	"Sphaeronectes koellikeri"	382968	0	0	0	298	0
"26Mar19-BW3-20.2"	"Sphaeronectes koellikeri"	322404	0	0	0	670	0
"26Mar19-BW3-20.3"	"Sphaeronectes koellikeri"	356684	0	0	0	4	0
"26Mar19-BW3-35"	"Sphaeronectes koellikeri"	322700	0	0	0	176	98
"26Mar19-BW3-35.1"	"Sphaeronectes koellikeri"	767360	0	0	0	366	216
"26Mar19-BW3-35.2"	"Sphaeronectes koellikeri"	347038	56	0	0	182	103
"26Mar19-BW3-35.3"	"Sphaeronectes koellikeri"	338824	0	0	0	193	0
"26Mar19-BW3-35.4"	"Sphaeronectes koellikeri"	309680	0	0	0	96	0
"26Mar19-BW3-35.5"	"Sphaeronectes koellikeri"	230992	0	0	0	15	0
"D1138-BW60"	"Sphaeronectes koellikeri"	276772	4658	0	0	0	0
"D1243-D3"	"Stephanomia amphytridis"	474250	0	0	0	290	0
"D1245-D11"	"Stephanomia amphytridis"	547844	0	0	0	0	0
"D856-SS8"	"Stephanomia amphytridis"	2149438	0	0	0	439707	164
"Groton1_Dive2_4"	"Sulculeolaria chuni"	1488653	2594	0	0	72	0
"D1019-D5"	"Undescribed physonect L"	2797936	3582	0	74	7894	626
"D1241-SS9"	"Undescribed physonect L"	240030	0	0	0	0	0
"D1241-D6"	"Undescribed physonect ZigZag"	285522	0	0	0	0	0
"D1137-D8"	"Vogtia serrata"	98358	116	0	0	93361	2699
"D1243-SS10"	"Vogtia serrata"	590222	236	0	0	1792	2948
"D961-SS1"	"Vogtia serrata"	909645	0	0	0	44919	35180
