sample	Extraction#	Specimen	Species	Feature_name	OTU	abundance	run	barcode	database	Broad.group	Phylum	Class	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	R1	pR1	R2	pR2	R3	pR3	R4	pR4	R5	pR5	R6	pR6	R7	pR7	R8	pR8	R9	pR9	R10	pR10	R11	pR11	R12	pR12	R13	pR13	R14	pR14	R15	pR15	R16	pR16	R17	pR17	R18	pR18	R19	pR19	R20	pR20
110_Vogtia	110	D1137-D8	Vogtia serrata	6d3418aacea8b5c09800155de7d387a9	Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Bivalvia	15	RUN1	152	GenBank	Bivalve	Mollusca	Bivalvia											Eukaryota	90.48	Metazoa	90.48	Lophotrochozoa	90.48	Mollusca	90.48	Bivalvia	90.48	Pteriomorphia	54.29	Arcoida	54.29	Arcoidea	54.29	Arcidae	36.19	Arca	18.09	Arca noae	18.09																		
110_Vogtia	110	D1137-D8	Vogtia serrata	41f12c7d42aebdf2d4a604f6e5c09f56	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata_Sergestoidea_	23	RUN1	166	SILVA	Decapod	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Dendrobranchiata	Sergestoidea					Eukaryota	89.19	Metazoa	89.19	Ecdysozoa	54.03	Arthropoda	54.03	Crustacea	54.03	Malacostraca	54.03	Eumalacostraca	54.03	Eucarida	54.03	Decapoda	54.03	Dendrobranchiata	54.03	Sergestoidea	91.23	Sergestidae	36.49	Sergia	18.24	Sergia hansjacobi	18.24												
110_Vogtia	110	D1137-D8	Vogtia serrata	41f12c7d42aebdf2d4a604f6e5c09f56	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata_Sergestoidea_	23	RUN1	166	GenBank	Decapod	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Dendrobranchiata	Sergestoidea					Eukaryota	89.19	Metazoa	89.19	Ecdysozoa	54.03	Arthropoda	54.03	Crustacea	54.03	Malacostraca	54.03	Eumalacostraca	54.03	Eucarida	54.03	Decapoda	54.03	Dendrobranchiata	54.03	Sergestoidea	91.23	Sergestidae	36.49	Sergia	18.24	Sergia hansjacobi	18.24												
110_Vogtia	110	D1137-D8	Vogtia serrata	4d76d22f5bb82dec44c339908bbbd87c	Eukaryota_Metazoa_Ecdysozoa_Arthropoda	559	RUN1	261	GenBank	Contamination	Arthropoda	Crustacea	Maxillopoda	Pentastomida	Porocephalida								Eukaryota	88.70	Metazoa	88.70	Ecdysozoa	88.70	Arthropoda	88.70	Crustacea	88.70	Maxillopoda	88.70	Pentastomida	88.70	Porocephalida	88.70	Linguatulidae	53.22	Linguatula	53.22	Linguatula serrata(0)																			
111_Forskalia	111	D1137-D7	Forskalia sp.	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	18	RUN1	272	SILVA	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
111_Forskalia	111	D1137-D7	Forskalia sp.	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	18	RUN1	272	GenBank	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
112_Forskalia	112	D1137-D9	Forskalia sp.	81579d4c73f722016396782a50462454	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae_Pleuromamma	218	RUN1	134	GenBank	Copepod													Eukaryota	91.04	Metazoa	36.51	Ecdysozoa	36.51	Arthropoda	36.51	Crustacea	36.51	Maxillopoda	36.51	Copepoda	36.51	Calanoida	36.51	Metridinidae	36.51	Gaussia	18.25	Gaussia princeps 	18.25																		
112_Forskalia	112	D1137-D9	Forskalia sp.	5f1a37a4084cb6886c4b3d8778eae16a	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae_Pleuromamma	190	RUN1	134	GenBank	Copepod													Eukaryota	91.04	Metazoa	36.51	Ecdysozoa	36.51	Arthropoda	36.51	Crustacea	36.51	Maxillopoda	36.51	Copepoda	36.51	Calanoida	36.51	Metridinidae	36.51	Gaussia	18.25	Gaussia princeps 	18.25																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	74a90a2276fa51bafd73d843a81debec	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda	147	RUN1	152	GenBank	Copepod													Eukaryota	91.67	environmental samples	55.00	uncultured eukaryote	55.00																																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	6e3663069f6093af44114840819c30ec	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda	130	RUN1	152	GenBank	Copepod													Eukaryota	91.46	environmental samples	54.87	uncultured eukaryote	54.87																																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	85bd310cb80ca6ff623d3c4840a643fb	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida	430	RUN1	166	SILVA	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida								Eukaryota	91.40	Metazoa	91.40	Ecdysozoa	91.40	Arthropoda	91.40	Crustacea	91.40	Maxillopoda	91.40	Copepoda	91.40	Calanoida	91.40	Augaptilidae	18.32	Haloptilus	18.32	Haloptilus longicornis	18.32																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	80516cbe01cae67f3c22d6679f2554cd	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida	326	RUN1	166	SILVA	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida								Eukaryota	91.05	Metazoa	91.05	Ecdysozoa	91.05	Arthropoda	91.05	Crustacea	91.05	Maxillopoda	91.05	Copepoda	91.05	Calanoida	91.05	Augaptilidae	18.32	Haloptilus	18.32	Haloptilus longicornis	18.32																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	85bd310cb80ca6ff623d3c4840a643fb	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae_Pleuromamma	430	RUN1	166	GenBank	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida								Eukaryota	91.40	Metazoa	91.40	Ecdysozoa	91.40	Arthropoda	91.40	Crustacea	91.40	Maxillopoda	91.40	Copepoda	91.40	Calanoida	91.40	Augaptilidae	18.32	Haloptilus	18.32	Haloptilus longicornis	18.32																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	80516cbe01cae67f3c22d6679f2554cd	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae_Pleuromamma	326	RUN1	166	GenBank	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida								Eukaryota	91.05	Metazoa	91.05	Ecdysozoa	91.05	Arthropoda	91.05	Crustacea	91.05	Maxillopoda	91.05	Copepoda	91.05	Calanoida	91.05	Augaptilidae	18.32	Haloptilus	18.32	Haloptilus longicornis	18.32																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	cdadbbe4afa01e7e492fbb77ac89fe72	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae	141	RUN1	179	SILVA	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae							Eukaryota	91.76	Metazoa	91.76	Ecdysozoa	91.76	Arthropoda	91.76	Crustacea	91.76	Maxillopoda	91.76	Copepoda	91.76	Calanoida	91.76	Metridinidae	91.76	Gaussia	18.35	Gaussia princeps 	18.35																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	9e0ca45ee71fe0109636c796c11a69a2	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae	103	RUN1	179	SILVA	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae							Eukaryota	91.76	Metazoa	91.76	Ecdysozoa	91.76	Arthropoda	91.76	Crustacea	91.76	Maxillopoda	91.76	Copepoda	91.76	Calanoida	91.76	Metridinidae	91.76	Gaussia	18.35	Gaussia princeps 	18.35																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	cdadbbe4afa01e7e492fbb77ac89fe72	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae	141	RUN1	179	GenBank	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae							Eukaryota	91.76	Metazoa	91.76	Ecdysozoa	91.76	Arthropoda	91.76	Crustacea	91.76	Maxillopoda	91.76	Copepoda	91.76	Calanoida	91.76	Metridinidae	91.76	Gaussia	18.35	Gaussia princeps 	18.35																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	9e0ca45ee71fe0109636c796c11a69a2	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae	103	RUN1	179	GenBank	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae							Eukaryota	91.76	Metazoa	91.76	Ecdysozoa	91.76	Arthropoda	91.76	Crustacea	91.76	Maxillopoda	91.76	Copepoda	91.76	Calanoida	91.76	Metridinidae	91.76	Gaussia	18.35	Gaussia princeps 	18.35																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	3a071153427a6b5418c7b8fa3fddc7ea	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida	1052	RUN1	272	SILVA	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida								Eukaryota	92.24	Metazoa	92.24	Ecdysozoa	92.24	Arthropoda	92.24	Crustacea	92.24	Maxillopoda	92.24	Copepoda	92.24	Calanoida	92.24	Lucicutiidae	18.44	Lucicutia	18.44	Lucicutia ovaliformis	18.44																		
117_Sphaeronectes	117	D1138-BW60	Sphaeronectes koellikeri	3a071153427a6b5418c7b8fa3fddc7ea	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae	1052	RUN1	272	GenBank	Copepod	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida								Eukaryota	92.24	Metazoa	92.24	Ecdysozoa	92.24	Arthropoda	92.24	Crustacea	92.24	Maxillopoda	92.24	Copepoda	92.24	Calanoida	92.24	Lucicutiidae	18.44	Lucicutia	18.44	Lucicutia ovaliformis	18.44																		
121_Muggiaea	121	D1138.2-BW65	Muggiaea atlantica	5b10fb5e5eecbda34bc6aab76072f191	Eukaryota_Metazoa_Chordata_Tunicata_Appendicularia_Oikopleuridae	3	RUN1	134	GenBank	Larvacean													Eukaryota	90.15	Metazoa	36.37	Chordata	18.26	Tunicata	18.26	Appendicularia	18.26	Oikopleuridae	18.26	Megalocercus	18.26	Megalocercus huxleyi	18.26																								
122_Nanomia	122	D1138-BW22	Nanomia sp. shallow	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	11	RUN1	272	SILVA	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
122_Nanomia	122	D1138-BW22	Nanomia sp. shallow	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	11	RUN1	272	GenBank	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
124_Nanomia	124	26Mar19-BW3-40.1	Nanomia sp. shallow	9f1a05c60ecc84829c9a9100c417fe4a	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Peracarida_Mysidacea_Lophogastrida	1423	RUN1	134	SILVA	Lophogastrid	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Peracarida	Mysidacea	Lophogastrida						Eukaryota	88.99	Metazoa	88.99	Ecdysozoa	71.61	Arthropoda	71.61	Crustacea	71.61	Malacostraca	71.61	Eumalacostraca	71.61	Peracarida	71.61	Mysidacea	71.61	Lophogastrida	71.61	Lophogastridae	67.13	Neognathophausia	17.90	Neognathophausia gigas	17.90														
124_Nanomia	124	26Mar19-BW3-40.1	Nanomia sp. shallow	058fc3807674688815a4ce76a7a5aeab	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Peracarida_Mysidacea_Lophogastrida	1376	RUN1	134	SILVA	Lophogastrid	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Peracarida	Mysidacea	Lophogastrida						Eukaryota	88.99	Metazoa	88.99	Ecdysozoa	71.61	Arthropoda	71.61	Crustacea	71.61	Malacostraca	71.61	Eumalacostraca	71.61	Peracarida	71.61	Mysidacea	71.61	Lophogastrida	71.61	Lophogastridae	67.13	Neognathophausia	17.90	Neognathophausia gigas	17.90														
124_Nanomia	124	26Mar19-BW3-40.1	Nanomia sp. shallow	c8a4d6a57a85f337ec647aab3d0cf7a7	Eukaryota_Metazoa_Ecdysozoa_Arthropoda	1014	RUN1	166	SILVA	Decapod	Arthropoda												Eukaryota	87.57	Metazoa	87.57	Ecdysozoa	87.57	Arthropoda	87.57	Crustacea	69.96	Malacostraca	69.96	Eumalacostraca	69.96	Eucarida	52.83	Decapoda	52.83	Pleocyemata	52.83	Caridea(0)	Bresilioidea	17.61	Disciadidae	17.61	Discias	17.61	Discias sp. AT-2008	17.61											
127_Sphaeronectes	127	26Mar19-BW3-35	Sphaeronectes koellikeri	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	49	RUN1	272	SILVA	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
127_Sphaeronectes	127	26Mar19-BW3-35	Sphaeronectes koellikeri	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	49	RUN1	272	GenBank	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
128_Sphaeronectes	128	26Mar19-BW3-35.1	Sphaeronectes koellikeri	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	72	RUN1	272	SILVA	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
128_Sphaeronectes	128	26Mar19-BW3-35.1	Sphaeronectes koellikeri	17927338a4359d6041e1ce17a51875c2	Eukaryota_Metazoa_Ecdysozoa_Nematoda_Chromadorea_Rhabditida_Rhabditoidea_Diplogastridae_Acrostichus	25	RUN1	272	SILVA	Contamination	Nematoda	Chromadorea	Rhabditida	Rhabditoidea	Diplogastridae	Acrostichus							Eukaryota	90.90	Metazoa	90.90	Ecdysozoa	90.90	Nematoda	90.90	Chromadorea	90.90	Rhabditida	72.83	Rhabditoidea	72.83	Diplogastridae	72.83	Acrostichus	72.83	Acrostichus halicti	18.26																				
128_Sphaeronectes	128	26Mar19-BW3-35.1	Sphaeronectes koellikeri	9b382ae55e51e130d1fc5352e8d359f3	Eukaryota_Metazoa_Ecdysozoa_Nematoda_Chromadorea_Rhabditida_Rhabditoidea_Diplogastridae_Acrostichus	11	RUN1	272	SILVA	Contamination	Nematoda	Chromadorea	Rhabditida	Rhabditoidea	Diplogastridae	Acrostichus							Eukaryota	90.90	Metazoa	90.90	Ecdysozoa	90.90	Nematoda	90.90	Chromadorea	90.90	Rhabditida	72.83	Rhabditoidea	72.83	Diplogastridae	72.83	Acrostichus	72.83	Acrostichus halicti	18.26																				
128_Sphaeronectes	128	26Mar19-BW3-35.1	Sphaeronectes koellikeri	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	72	RUN1	272	GenBank	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
128_Sphaeronectes	128	26Mar19-BW3-35.1	Sphaeronectes koellikeri	17927338a4359d6041e1ce17a51875c2	Eukaryota_Metazoa_Ecdysozoa_Nematoda_Chromadorea	25	RUN1	272	GenBank	Contamination	Nematoda	Chromadorea	Rhabditida	Rhabditoidea	Diplogastridae	Acrostichus							Eukaryota	90.90	Metazoa	90.90	Ecdysozoa	90.90	Nematoda	90.90	Chromadorea	90.90	Rhabditida	72.83	Rhabditoidea	72.83	Diplogastridae	72.83	Acrostichus	72.83	Acrostichus halicti	18.26																				
128_Sphaeronectes	128	26Mar19-BW3-35.1	Sphaeronectes koellikeri	9b382ae55e51e130d1fc5352e8d359f3	Eukaryota_Metazoa_Ecdysozoa_Nematoda_Chromadorea	11	RUN1	272	GenBank	Contamination	Nematoda	Chromadorea	Rhabditida	Rhabditoidea	Diplogastridae	Acrostichus							Eukaryota	90.90	Metazoa	90.90	Ecdysozoa	90.90	Nematoda	90.90	Chromadorea	90.90	Rhabditida	72.83	Rhabditoidea	72.83	Diplogastridae	72.83	Acrostichus	72.83	Acrostichus halicti	18.26																				
129_Sphaeronectes	129	26Mar19-BW3-35.2	Sphaeronectes koellikeri	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	37	RUN1	272	SILVA	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
129_Sphaeronectes	129	26Mar19-BW3-35.2	Sphaeronectes koellikeri	5ae013c6417001757af5f9dc6c0ebc93	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Pleocyemata_Brachyura_Eubrachyura_Majoidea	28	RUN1	272	SILVA	Decapod	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Brachyura	Eubrachyura	Majoidea	Mithracidae		Eukaryota	92.05	Metazoa	92.05	Ecdysozoa	92.05	Arthropoda	92.05	Crustacea	92.05	Malacostraca	92.05	Eumalacostraca	92.05	Eucarida	92.05	Decapoda	92.05	Pleocyemata	92.05	Brachyura	92.05	Eubrachyura	92.05	Majoidea	92.05	Mithracidae	73.65	Mithraculus	36.84	Mithraculus cinctimanus	18.44								
129_Sphaeronectes	129	26Mar19-BW3-35.2	Sphaeronectes koellikeri	db760645fac8fbdf06256ac48d53519c	Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi	37	RUN1	272	GenBank	Contamination	Chordata	Craniata	Vertebrata	Euteleostomi									Eukaryota	92.48	Metazoa	92.48	Chordata	92.48	Craniata	92.48	Vertebrata	92.48	Euteleostomi	92.48	Archelosauria	18.53	Testudines	18.53	Cryptodira	18.53	Durocryptodira	18.53	Testudinoidea	18.53	Emydidae	18.53	Trachemys	18.53	Trachemys scripta elegans	18.53												
129_Sphaeronectes	129	26Mar19-BW3-35.2	Sphaeronectes koellikeri	5ae013c6417001757af5f9dc6c0ebc93	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Pleocyemata_	28	RUN1	272	GenBank	Decapod	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Brachyura	Eubrachyura	Majoidea	Mithracidae		Eukaryota	92.05	Metazoa	92.05	Ecdysozoa	92.05	Arthropoda	92.05	Crustacea	92.05	Malacostraca	92.05	Eumalacostraca	92.05	Eucarida	92.05	Decapoda	92.05	Pleocyemata	92.05	Brachyura	92.05	Eubrachyura	92.05	Majoidea	92.05	Mithracidae	73.65	Mithraculus	36.84	Mithraculus cinctimanus	18.44								
